structure,date
4o26_E,20131216
6s8b_V,20190709
4zc7_A,20150415
6zdu_C,20200615
3jcs_5,20160121
2agn_C,20050727
5m0h_A,20161005
2jxv_A,20071130
5b2p_B,20160201
1h1k_I,20020717
2noq_B,20061026
6zj3_LD,20200627
2m57_A,20130215
4lck_F,20130621
1zc5_A,20050411
7cxm_J,20200902
6zj3_LG,20200627
6nue_H,20190131
7kub_A,20201124
4pmi_A,20140521
1ysh_F,20050208
6z9t_R,20200604
2jyf_A,20071213
6gmh_P,20180526
6c63_A,20180117
2vpl_B,20080301
5b2t_A,20160202
7qqx_A,20220110
4qjh_F,20140603
8b6z_B,20220927
4v5z_AB,20080327
6lsh_B,20200117
1h1k_K,20020717
7rex_A,20210713
7bhp_B,20210111
6zqa_D2,20200709
1ymo_A,20050121
1am0_A,19970619
2nby_A,20160316
2m58_A,20130218
3id5_H,20090720
6d12_C,20180411
5wti_B,20161213
7uo7_T,20220412
1i6u_C,20010305
1g70_A,20001108
2bh2_D,20050106
7wv5_E,20220209
3hhn_E,20090515
1rmn_A,19941020
7uob_T,20220412
3ktw_C,20091126
7nt6_Z,20210309
2ozb_C,20070226
1e8o_E,20000928
7rwr_A,20210820
3hax_E,20090503
6xjq_A,20200624
1s03_B,20031229
5ztm_C,20180504
1b36_A,19981217
1a60_A,19980304
7a5p_Y,20200821
7ctt_T,20200820
4pdb_I,20140417
7tj2_G,20220114
4pjo_1,20140512
2mqt_A,20140626
5h0r_H,20161006
7v01_U,20220509
2mqv_B,20140627
6e8t_D,20180731
6lnb_M,20191228
2kzl_A,20100618
3nkb_B,20100618
1u63_D,20040729
3jcs_6,20160121
3izd_A,20101013
1mvr_A,20020926
4m6d_H,20130809
4v5z_BF,20080327
8a22_B4,20220602
7xht_B,20220410
7c7l_C,20200526
3am1_B,20100811
1qzc_A,20030916
7pwg_4,20211006
6x5m_r,20200526
5xwy_B,20170630
7szu_R,20211129
6vu1_A,20200214
7pkt_1,20210826
7eu0_O,20210515
3j0l_1,20111004
5f8j_B,20151209
6ifk_N,20180920
5tzs_2,20161122
6e8u_B,20180731
2au4_A,20050826
7umd_A,20220406
6u8d_A,20190904
3izz_A,20110120
2l2k_A,20100820
6xmf_C,20200630
6aay_B,20180719
6zj3_LL,20200627
1m5l_A,20020709
7qgh_x,20211208
5dea_C,20150825
3nvk_K,20100708
3aoi_Q,20100930
7w0e_C,20211118
7way_D,20211215
5c45_Y,20150617
1f1t_A,20000519
4prf_B,20140305
7uzz_G,20220509
7ptk_B,20210927
8gwe_J,20220916
7pkt_0,20210826
2n6s_A,20150828
2n6w_A,20150828
6bu9_C,20171209
2gje_R,20060330
7vg2_D,20210914
1zc8_I,20050411
3r9x_C,20110326
5wlh_B,20170726
7wv3_E,20220209
3e5c_A,20080813
5bjo_E,20160821
7n0b_D,20210525
6n2v_A,20181114
6i7o_l,20181116
7dmq_B,20201205
7mky_A,20210427
8a22_B1,20220602
6vz5_7,20200227
6b44_M,20170925
8e6z_7,20220823
5kqe_A,20160706
6ne0_M,20181215
2lhp_A,20110812
7qdu_Q,20211130
4v9e_Ag,20120919
4jf2_A,20130227
6vqv_L,20200206
6zj3_LK,20200627
6wpi_B,20200427
6tw1_V,20200111
2n4l_A,20150623
5kpy_A,20160705
2ku0_A,20100210
6az3_6,20170909
7zgr_E,20220404
7uzx_G,20220509
7xt4_r,20220516
4v84_AV,20101213
3r4f_A,20110317
6mxq_A,20181031
2lwk_A,20120801
6zdp_B,20200615
7kvt_B,20201128
5voe_A,20170502
6e8t_A,20180731
2ihx_B,20060927
4v5z_AE,20080327
3pu0_R,20101203
4kr6_D,20130516
2jea_C,20070116
7qh7_B,20211210
6lsf_B,20200117
4v5z_BS,20080327
4c7o_E,20130923
1njp_5,20030102
2hgh_B,20060627
7pmm_D,20210902
8e4x_D,20220819
7b3d_T,20201130
3dkn_F,20080625
7tj2_H,20220114
4wzj_XXX,20141119
1t28_A,20040420
6p5i_1,20190530
1d6k_B,19991014
2l3c_B,20100912
8e5l_7,20220822
6az3_3,20170909
6o1o_M,20190221
5xtm_B,20170620
6w3m_A,20200309
6vpc_A,20200203
7uzx_L,20220509
1zc8_H,20050411
7uga_A,20220324
3ovb_C,20100916
7os0_F,20210607
1kaj_A,19960221
6joo_B,20190322
8d28_B,20220528
5d5l_A,20150810
6ww6_D,20200507
8d9k_C,20220610
6p19_R,20190519
7el1_B,20210407
3k1v_A,20090928
3id5_D,20090720
6xn3_T,20200702
2hua_A,20060726
8a22_A3,20220602
2jyh_B,20071213
7jrt_A,20200812
8dvu_B,20220729
7d8o_B,20201008
3hay_E,20090503
5x2g_B,20170131
6xyw_3,20200131
8dc2_B,20220615
2wwb_E,20091022
7jrs_B,20200812
7qgr_x,20211209
5vw1_C,20170521
7ozv_P,20210628
7u2b_C,20220223
7kha_J,20201020
8euy_6,20221019
7enr_B,20210419
6xb7_A,20200605
7dd4_A,20201027
7waz_D,20211215
6cf2_G,20180213
3ski_A,20110622
2wyy_S,20091120
6lt7_C,20200121
1mj1_Q,20020826
2kpv_A,20091020
4ifd_R,20121214
486d_F,19990909
7wb1_D,20211215
4kr6_C,20130516
7s7b_D,20210915
1kpd_A,19970102
6xas_R,20200604
6wlj_A,20200420
1gtn_W,20020116
1z31_A,20050310
7xt4_a,20220516
1kpz_A,20020103
486d_G,19990909
2ww9_E,20091022
1pn8_D,20030612
7pkt_6,20210826
5f8n_B,20151209
2zy6_A,20090114
3cul_C,20080416
1mji_D,20020828
8esq_6,20221014
7utn_C,20220427
5xtm_D,20170620
5aox_C,20150912
4p95_A,20140402
7kkv_B,20201028
7a01_E1,20200805
7v01_G,20220509
4k27_U,20130408
7n0b_T,20210525
3ciy_C,20080312
4kr9_X,20130516
7ozq_H,20210628
6r7g_R,20190328
6rti_X,20190524
1e8s_C,20000929
6szu_V,20191002
2tpk_A,19981028
2l3e_A,20100913
6lax_A,20191113
7v94_B,20210824
3nmu_E,20100622
1a9l_A,19980407
8a22_A6,20220602
6h25_R,20180713
5xuz_B,20170626
7d8c_B,20201007
1hmh_A,19950606
5wtk_B,20161213
3aoi_S,20100930
6ww6_E,20200507
7l49_E,20201218
4ts2_X,20140618
8e5o_7,20220822
7tr6_R,20220128
4kr9_M,20130516
5v17_A,20170301
4v83_CV,20101213
4qyz_L,20140726
7mlx_R,20210429
7ozv_T,20210628
7zo1_A,20220423
7uws_H,20220503
7cyq_J,20200904
6t0s_V,20191003
4v5z_BE,20080327
8eg0_C,20220910
2khy_A,20090414
2dra_B,20060608
5dh6_A,20150829
8ffr_X,20221209
8a22_B3,20220602
3t4b_A,20110725
5uk4_x,20170119
8d29_F,20220528
5lzd_x,20160929
7r6q_6,20210623
5ddo_A,20150825
1mzp_B,20021009
7nad_2,20210621
3j45_1,20130618
5lwj_A,20160917
6c27_A,20180107
3siv_C,20110620
5y85_D,20170818
6zqd_D2,20200709
7xjg_H,20220417
7pts_A,20210927
7elh_O,20210411
7zol_C,20220426
7slp_R,20211024
2yhm_K,20110504
6z1p_Ba,20200514
6nu2_B,20190130
8ane_R,20220805
5oik_P,20170718
6c66_J,20180117
6nd4_0,20181213
7zpj_B,20220427
8eug_1,20221018
7ohq_6,20210511
7s36_R,20210904
8h2h_A,20221006
7vyx_C,20211115
2gtt_W,20060428
4j1g_E,20130201
6o7h_G,20190307
7vg3_D,20210914
7tra_R,20220128
7xsp_A,20220515
6gzk_A,20180704
7pmq_F,20210902
2p89_A,20070322
7qr0_A,20220110
4b3q_R,20120725
1trj_B,20040621
7sba_Z,20210924
1u6b_B,20040729
7shx_A,20211011
6dcc_B,20180504
1h1k_M,20020717
7xsp_D,20220515
6ufh_A,20190924
2gic_R,20060328
8a22_A7,20220602
4h5o_L,20120918
4v5z_AC,20080327
4y1m_B,20150208
6dtd_C,20180615
5y6z_B,20170815
4x4v_B,20141203
4c4w_H,20130909
1zc8_J,20050411
7odf_F,20210429
2n6t_A,20150828
4bkk_A,20130426
4rmo_B,20141021
3pla_H,20101115
6o1o_N,20190221
1p5p_A,20030427
6zqc_D2,20200709
6xn3_R,20200702
6ifl_I,20180920
6zvk_E1,20200724
5tpy_A,20161021
6e1s_A,20180710
7uin_B,20220329
4v5z_BX,20080327
3iab_R,20090713
3ivk_M,20090901
2la5_A,20110303
6ifl_J,20180920
6tz2_T,20190809
8eug_9,20221018
6xzd_IN1,20200204
4r4v_A,20140819
7w0c_D,20211118
4jrc_B,20130321
6bu9_B,20171209
8e5p_7,20220822
4zt0_D,20150514
7krp_P,20201120
8a22_A8,20220602
8dfv_E,20220622
1hmh_E,19950606
6r47_A,20190322
2mtk_A,20140819
2zni_C,20080425
3ciy_D,20080312
3egz_B,20080911
7re1_P,20210712
4jng_L,20130315
4v8m_BE,20121209
6sy4_C,20190927
2nbz_A,20160316
4v8t_1,20120807
8d29_J,20220528
4pkd_V,20140514
7bgd_A,20210106
6uro_D,20191023
1rnk_A,19950111
5c45_X,20150617
7v06_A,20220509
7kjv_D,20201026
6rja_D,20190426
2euy_A,20051030
6wbr_B,20200327
7xue_R,20220518
3skl_B,20110622
5t5h_H,20160831
4adx_8,20120104
1h1k_N,20020717
6ufm_B,20190924
5a18_A,20150428
5t5h_G,20160831
2mtj_A,20140819
6kl9_G,20190730
3npq_A,20100628
8a22_A2,20220602
6ny1_B,20190210
2hw8_B,20060801
5xh7_B,20170419
7w0d_D,20211118
7k4l_A,20200915
6cb3_B,20180201
5kk5_B,20160621
6xn4_R,20200702
5xlo_K,20170511
7eu9_B,20210516
2hvy_E,20060731
7r6k_1,20210622
8d29_C,20220528
2quw_B,20070806
1et4_A,20000412
6ifk_J,20180920
6iv9_B,20181202
1nbk_A,20021203
6m0x_B,20200223
2xdb_G,20100430
6p7m_B,20190606
7elh_U,20210411
1un6_F,20030904
7vtn_B,20211030
6noa_A,20190116
1kog_O,20011220
5ns3_C,20170425
1e95_A,20001009
1p5m_A,20030427
8eug_2,20221018
5mga_B,20161121
6gov_R,20180604
2li4_A,20110822
3izz_B,20110120
5ddo_B,20150825
6uvn_M,20191103
5jup_EC,20160510
1h1k_J,20020717
1s03_A,20031229
6xn5_R,20200702
1cql_A,19990806
7uzw_G,20220509
2om7_G,20070121
6w64_B,20200316
5eeu_W,20151023
2om7_H,20070121
7n0c_T,20210525
6bhj_E,20171030
2n3q_A,20150609
6pij_1,20190626
8a22_A9,20220602
4v5z_AH,20080327
1r7z_A,20031022
3vjr_B,20111028
1mnx_A,20020906
8a22_A1,20220602
7k16_P,20200907
6zj3_LN,20200627
7ljy_B,20210201
2mxl_A,20150106
1h1k_L,20020717
8gs2_R,20220904
7q4k_D2,20211031
5dcv_D,20150824
3j45_4,20130618
2lup_A,20120619
7nsi_AV,20210307
2i7z_B,20060831
1u3k_A,20040722
3jcs_3,20160121
7vg2_C,20210914
7nkx_P,20210219
7oop_P,20210528
7cyq_I,20200904
3lqx_B,20100210
6pmo_A,20190702
6ltu_B,20200123
8ea4_7,20220827
7krp_T,20201120
1duh_A,20000117
7elh_T,20210411
6db9_R,20180502
1pn7_C,20030612
2n6x_A,20150831
5v16_A,20170301
1g1x_E,20001013
4pr6_B,20140305
6e9e_B,20180801
6sdy_B,20190729
6lse_B,20200117
7pkt_4,20210826
6e9f_B,20180801
4oog_D,20140202
6az3_5,20170909
3zla_I,20130129
2pcw_A,20070330
6yl5_I,20200406
6lsg_B,20200117
4qjd_D,20140603
5nfv_B,20170316
6o7h_H,20190307
7ptl_B,20210927
7nt6_X,20210309
8abz_R,20220705
7qqp_A,20220110
4v8m_BH,20121209
1g1x_J,20001013
7dmq_C,20201205
2ktz_A,20100210
6w5c_B,20200313
5h9f_L,20151228
7elh_N,20210411
3siv_F,20110620
2fey_A,20051216
4v5z_BI,20080327
8dk7_C,20220704
8e6w_8,20220823
6az4_A,20170909
3ptx_R,20101203
6bk8_i,20171107
6lqs_5A,20200114
4v5z_AD,20080327
6s8b_U,20190709
2l2j_A,20100820
2fdt_A,20051214
8cti_C,20220514
4uyk_R,20140901
6pom_A,20190704
7elh_R,20210411
4u7u_L,20140731
2lu0_A,20120605
5fq5_A,20151207
4x4u_G,20141203
7v9e_A,20210825
5t5h_E,20160831
1yls_B,20050119
7qi4_B,20211214
7uo7_P,20220412
2n3r_A,20150609
4v5z_BN,20080327
6t2c_V,20191008
3pla_G,20101115
6d3p_A,20180416
5ml7_B,20161206
7re1_T,20210712
8a22_A5,20220602
7d3j_B,20200919
4k50_B,20130412
7nsj_AY,20210307
4pcj_A,20140415
3r9w_B,20110326
3j45_2,20130618
1kh6_A,20011129
5ydt_SA,20170914
8dg7_F,20220623
5une_A,20170130
1r7w_A,20031022
2lub_A,20120611
7lys_B,20210308
6svs_A,20190918
6e8s_A,20180731
6u79_A,20190901
7n0c_D,20210525
1a51_A,19980219
5y36_B,20170727
2n8v_X,20151027
2rvo_A,20160203
7jl3_X,20200729
6sdw_B,20190729
7w0e_D,20211118
1xhp_A,20040920
7dte_F,20210104
7y9x_R,20220626
1zn1_C,20050511
1raw_A,19960717
2kx8_A,20100427
7ele_G,20210409
7pkt_2,20210826
7pd3_B,20210804
6ifn_N,20180920
4m4o_B,20130807
7k5l_R,20200917
4xjn_N,20150108
7w0c_C,20211118
8e4x_C,20220819
4kzd_R,20130529
2oeu_A,20070101
3rw6_H,20110507
6ufg_A,20190924
7w0d_C,20211118
8aw3_1,20220829
2nue_C,20061109
2lpt_A,20120217
7nt5_N,20210309
7dlz_X,20201130
7oax_A,20210420
5xlp_K,20170511
4rbq_A,20140912
5de8_A,20150825
2pcv_A,20070330
5xwp_C,20170630
4v8m_BF,20121209
2oiu_P,20070111
4v5z_BG,20080327
7xlt_B,20220422
1i9f_A,20010319
5f9r_A,20151210
1p5n_A,20030427
7qca_S60,20211122
4bhh_R,20130403
8ac0_R,20220705
5h0r_I,20161006
7l0z_G,20201213
7qca_L70,20211122
8e5k_7,20220822
7xui_R,20220518
6eri_AB,20171018
7qca_L50,20211122
6ydw_AY,20200321
1fmn_A,19951204
7qr8_A,20220110
2nc1_A,20160316
5t16_H,20160818
8d1v_J,20220527
6p5n_1,20190530
7am2_R2,20201007
4plx_A,20140519
7eog_A,20210422
5y7m_D,20170801
7eqg_M,20210501
8a22_A4,20220602
6w2t_A,20200308
2jtp_A,20070804
2r8s_R,20070911
6dme_A,20180605
7eni_B,20210417
4oji_A,20140121
6dn2_Y,20180605
7b3c_T,20201130
3aoi_U,20100930
1kuq_B,20020122
4b3p_R,20120725
5btm_A,20150603
8d8l_a,20220608
1txs_A,20040706
7m5o_B,20210324
7o7y_AI,20210414
7y81_C,20220622
5lzc_x,20160929
6gaz_AV,20180413
2qwy_C,20070810
1q8n_A,20030821
4rge_C,20140930
3gs5_C,20090326
6dn2_X,20180605
3j0o_a,20111005
7ogm_P,20210506
5une_B,20170130
8asw_X,20220821
1t1m_B,20040416
7x8a_C,20220311
5w1h_B,20170603
5fj4_H,20151006
8e0f_D,20220809
5o7h_A,20170608
1c9s_W,19990803
8e0f_C,20220809
6vz2_7,20200227
8gs2_D,20220904
6dvk_H,20180624
7jnh_B,20200804
3bo0_G,20071215
4by9_A,20130718
1g1x_D,20001013
3ep2_B,20080929
7y81_B,20220622
2mhi_A,20131123
5k7d_A,20160526
4cxg_a,20140407
3p22_A,20101001
7lhd_A,20210122
2oiu_Q,20070111
6vrc_B,20200207
7ptq_C,20210927
1exy_A,20000505
6sy6_D,20190927
3x1l_I,20141120
5u30_B,20161201
7jrr_A,20200812
6vrb_B,20200207
4mgn_A,20130828
8a22_B2,20220602
3j46_3,20130618
1ull_A,19961105
6iv6_G,20181202
6vyt_7,20200227
6tz2_N,20190809
1qzw_F,20030918
7w0a_D,20211118
6r5k_E,20190325
2m8k_A,20130522
8btz_A,20221130
7elh_S,20210411
6z1p_Aa,20200514
7jrs_A,20200812
7u2a_C,20220223
4x4n_D,20141203
8apn_C1,20220810
3icq_E,20090718
1g1x_I,20001013
4ts2_Y,20140618
3pu1_R,20101203
7s7b_H,20210915
7uob_P,20220412
4zc7_B,20150415
6ydp_AV,20200320
6tqn_R,20191217
5a2t_Z,20150523
7vti_B,20211029
7jl3_Y,20200729
7dte_G,20210104
